setup,direction,entry_ts,exit_ts,entry_t,exit_t,stop_t,target_t,risk_ticks,pnl_ticks,pnl_usd,r_multiple,reason,mae_ticks,mfe_ticks,trend,lvn_strength,absorption_ratio,aggressor_share,stacked,hour
lvn,1,2024-01-11 10:17:48.717983,2024-01-11 10:19:35.871492,20289.0,20278.0,20279.0,20309.0,10.0,-11.0,-14.99,-1.1,stop,-12.0,0.0,0,0.9308130596002533,5.783861671469741,0.5555555555555556,1,10
lvn,1,2024-01-11 11:00:18.766089,2024-01-11 11:00:46.880983,20326.0,20321.0,20322.0,20334.0,4.0,-5.0,-7.49,-1.25,stop,-4.0,4.0,1,0.9826354345663381,5.988472622478386,0.5760346487006738,1,11
structure,-1,2024-01-11 12:09:03.518749,2024-01-11 13:10:51.537286,20225.0,20225.0,20224.0,20183.0,21.0,-0.0,-1.24,-0.0,breakeven,-1.0,29.0,-1,0.0,8.065989847715736,0.5018879798615481,1,12
lvn+structure,1,2024-01-11 13:37:35.077285,2024-01-11 13:51:59.675337,20219.0,20261.0,20220.0,20261.0,21.0,42.0,51.26,2.0,objectif,-3.0,47.0,1,0.8406224845720418,4.102877070619006,0.5231619209519762,1,13
lvn+structure,1,2024-01-11 14:11:39.939697,2024-01-11 14:28:23.707095,20295.0,20273.0,20274.0,20337.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,14.0,1,0.9020495075858398,4.230366492146596,0.5148514851485149,1,14
structure,1,2024-01-11 14:53:55.975287,2024-01-11 15:20:24.010125,20191.0,20191.0,20192.0,20231.0,20.0,0.0,-1.24,0.0,breakeven,-15.0,29.0,1,0.0,5.976031957390147,0.5133689839572193,1,14
lvn+structure,-1,2024-01-12 13:03:49.184143,2024-01-12 13:17:23.738780,19931.0,19953.0,19952.0,19889.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-27.0,0.0,-1,0.9953831948291783,6.396412556053812,0.5381379697139652,1,13
structure,1,2024-01-15 10:55:47.282404,2024-01-15 11:11:14.436128,20128.0,20170.0,20129.0,20170.0,21.0,42.0,51.26,2.0,objectif,-19.0,49.0,1,0.0,7.517326732673268,0.5051037207770827,1,10
lvn,-1,2024-01-15 11:20:09.018650,2024-01-15 11:26:41.236424,20183.0,20141.0,20182.0,20141.0,21.0,42.0,51.26,2.0,objectif,-3.0,43.0,0,0.9253074237133748,8.066666666666666,0.545772409408773,1,11
lvn,1,2024-01-15 14:17:34.154236,2024-01-15 14:19:33.974904,20110.0,20120.0,20111.0,20120.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,0,0.760120693990445,3.263644773358002,0.5102040816326531,2,14
lvn,-1,2024-01-15 15:26:51.241525,2024-01-15 15:31:20.540028,20217.0,20209.0,20216.0,20209.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,0,0.8251086012163336,4.124309392265193,0.5117213663764233,1,15
lvn,1,2024-01-17 11:56:41.291620,2024-01-17 11:58:35.201572,20374.0,20382.0,20375.0,20382.0,4.0,8.0,8.76,2.0,objectif,-2.0,11.0,1,0.9840286516310135,2.6881720430107525,0.501,1,11
structure,-1,2024-01-19 15:15:10.918774,2024-01-19 15:23:27.212781,20418.0,20398.0,20417.0,20398.0,10.0,20.0,23.76,2.0,objectif,-8.0,24.0,-1,0.0,4.7314148681055155,0.6224024328433857,1,15
structure,1,2024-01-22 12:18:56.089277,2024-01-22 12:22:51.936707,20312.0,20326.0,20313.0,20326.0,7.0,14.0,16.26,2.0,objectif,-5.0,14.0,1,0.0,3.78117048346056,0.5874831763122477,1,12
lvn,-1,2024-01-22 14:26:56.329336,2024-01-22 14:29:04.105155,20275.0,20257.0,20274.0,20257.0,9.0,18.0,21.26,2.0,objectif,-6.0,19.0,0,0.8218793828892006,5.93058568329718,0.5768105340160936,1,14
lvn,-1,2024-01-22 15:08:54.103695,2024-01-22 15:22:01.496381,20210.0,20210.0,20209.0,20174.0,18.0,-0.0,-1.24,-0.0,breakeven,-8.0,31.0,0,0.9719495091164095,6.347613219094248,0.5352873119938295,1,15
lvn,-1,2024-01-23 10:10:00.302212,2024-01-23 10:13:04.181600,20235.0,20215.0,20234.0,20215.0,10.0,20.0,23.76,2.0,objectif,-1.0,23.0,0,0.7336478388371797,4.308433734939759,0.5453020134228188,1,10
lvn,1,2024-01-24 11:32:39.777739,2024-01-24 11:46:12.869906,20662.0,20647.0,20648.0,20690.0,14.0,-15.0,-19.99,-1.0714285714285714,stop,-14.0,7.0,1,0.9587699539712076,4.818511796733213,0.576271186440678,1,11
lvn,1,2024-01-25 13:12:58.650068,2024-01-25 13:26:13.634566,20570.0,20570.0,20571.0,20610.0,20.0,0.0,-1.24,0.0,breakeven,-14.0,35.0,0,0.864045735766309,3.240740740740741,0.5607142857142857,1,13
lvn,-1,2024-01-25 14:21:12.866357,2024-01-25 14:25:42.939168,20645.0,20637.0,20644.0,20637.0,4.0,8.0,8.76,2.0,objectif,-2.0,14.0,0,0.9267137284042356,5.725631768953068,0.5203867171080285,1,14
lvn+structure,-1,2024-01-25 14:57:53.714236,2024-01-25 15:05:39.726531,20591.0,20611.0,20610.0,20553.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-22.0,0.0,-1,0.7938773501328871,3.536926147704591,0.5406320541760722,1,14
lvn,1,2024-01-26 09:53:01.822592,2024-01-26 09:55:20.200735,20610.0,20618.0,20611.0,20618.0,4.0,8.0,8.76,2.0,objectif,-1.0,10.0,0,0.8099166223168353,6.141772151898734,0.5189612530915086,1,9
structure,1,2024-01-26 11:26:24.246813,2024-01-26 11:45:48.063273,20710.0,20738.0,20711.0,20738.0,14.0,28.0,33.76,2.0,objectif,-12.0,31.0,1,0.0,2.7598371777476256,0.528023598820059,1,11
lvn,-1,2024-01-26 15:17:54.203064,2024-01-26 15:55:44.497705,20627.0,20611,20648.0,20585.0,21.0,16.0,18.76,0.7619047619047619,fin_de_seance,-19.0,19.0,1,0.9729219143576826,3.467032967032967,0.5522979397781299,1,15
structure,1,2024-01-29 11:05:28.725934,2024-01-29 11:48:03.105718,20732.0,20732.0,20733.0,20774.0,21.0,0.0,-1.24,0.0,breakeven,-17.0,25.0,1,0.0,4.278814489571899,0.5105182144689584,1,11
lvn,1,2024-01-30 13:20:59.548668,2024-01-30 14:14:42.591301,20780.0,20758.0,20759.0,20822.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-27.0,16.0,0,0.7315795738602547,5.444717444717445,0.5063176895306859,1,13
lvn,-1,2024-01-31 13:15:10.546883,2024-01-31 13:23:00.222421,20817.0,20775.0,20816.0,20775.0,21.0,42.0,51.26,2.0,objectif,-6.0,44.0,0,0.7237276933245208,5.932530120481927,0.5190901705930138,1,13
lvn+structure,1,2024-02-01 14:21:10.323286,2024-02-01 14:36:04.918806,20858.0,20836.0,20837.0,20900.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,15.0,1,0.9099099099099099,3.5526932084309135,0.5029663810151616,1,14
structure,1,2024-02-05 10:47:28.074289,2024-02-05 11:01:49.644426,20732.0,20774.0,20733.0,20774.0,21.0,42.0,51.26,2.0,objectif,-20.0,42.0,1,0.0,6.048618784530387,0.5407380343441724,1,10
lvn,1,2024-02-05 13:42:48.836466,2024-02-05 14:21:52.089400,20949.0,20927.0,20928.0,20991.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-28.0,15.0,-1,0.9953332656995029,4.146620847651776,0.5259668508287293,1,13
lvn+structure,1,2024-02-05 14:28:35.612806,2024-02-05 14:33:38.981597,20913.0,20902.0,20903.0,20933.0,10.0,-11.0,-14.99,-1.1,stop,-18.0,0.0,1,0.9363903824693112,4.391705069124424,0.5561385099685204,1,14
structure,1,2024-02-05 14:41:39.587396,2024-02-05 14:47:17.743279,20897.0,20929.0,20898.0,20929.0,16.0,32.0,38.76,2.0,objectif,-1.0,33.0,1,0.0,3.946113989637306,0.667016806722689,1,14
structure,-1,2024-02-07 10:20:55.155194,2024-02-07 10:27:19.606811,21045.0,21067.0,21066.0,21003.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,0.0,-1,0.0,6.428390367553866,0.542981072555205,1,10
structure,-1,2024-02-07 11:32:48.691953,2024-02-07 11:39:13.883754,21068.0,21030.0,21067.0,21030.0,19.0,38.0,46.26,2.0,objectif,-1.0,44.0,-1,0.0,8.572057205720572,0.5282340862422998,1,11
structure,-1,2024-02-09 10:00:00.721745,2024-02-09 10:19:17.883402,20645.0,20603.0,20644.0,20603.0,21.0,42.0,51.26,2.0,objectif,-19.0,46.0,-1,0.0,4.938461538461539,0.5487316421895861,1,10
lvn,-1,2024-02-09 11:43:37.789563,2024-02-09 11:45:44.305483,20503.0,20514.0,20513.0,20483.0,10.0,-11.0,-14.99,-1.1,stop,-18.0,0.0,0,0.9634412875024836,6.958579881656805,0.591156462585034,1,11
lvn+structure,-1,2024-02-09 14:20:49.611625,2024-02-09 14:24:01.570701,20538.0,20560.0,20559.0,20496.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,1.0,-1,0.8615191341321995,4.342920353982301,0.5196128374936322,1,14
lvn+structure,-1,2024-02-09 15:46:33.133539,2024-02-09 15:53:38.914588,20611.0,20629.0,20628.0,20577.0,17.0,-18.0,-23.74,-1.0588235294117647,stop,-18.0,11.0,-1,0.7198242723778143,3.9598732840549102,0.5061333333333333,1,15
lvn+structure,1,2024-02-12 10:01:09.209925,2024-02-12 10:15:20.416625,20683.0,20661.0,20662.0,20725.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,17.0,1,0.9469441594606478,4.079741379310345,0.5124141574220814,1,10
lvn,-1,2024-02-12 10:50:10.219581,2024-02-12 11:12:05.070436,20743.0,20765.0,20764.0,20701.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-25.0,4.0,0,0.9857294671322302,4.436997319034853,0.5081570996978853,1,10
structure,1,2024-02-12 11:25:36.994538,2024-02-12 11:30:45.114241,20742.0,20752.0,20743.0,20752.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,1,0.0,5.221445221445221,0.5616071428571429,1,11
lvn,-1,2024-02-14 11:07:23.995083,2024-02-14 11:11:22.811692,20807.0,20807.0,20806.0,20795.0,6.0,-0.0,-1.24,-0.0,breakeven,-8.0,7.0,1,0.9889079831276363,4.927536231884058,0.5679144385026738,1,11
structure,-1,2024-02-14 14:45:32.094651,2024-02-14 15:09:58.174242,20881.0,20881.0,20880.0,20843.0,19.0,-0.0,-1.24,-0.0,breakeven,-7.0,28.0,-1,0.0,3.9365079365079363,0.5502481389578163,1,14
lvn,1,2024-02-15 14:13:12.611350,2024-02-15 14:21:14.682775,20764.0,20742.0,20743.0,20806.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-21.0,9.0,0,0.7683132982719759,4.384393063583815,0.5372445616348055,1,14
lvn,-1,2024-02-15 14:34:15.946674,2024-02-15 14:42:57.900145,20793.0,20781.0,20792.0,20781.0,6.0,12.0,13.76,2.0,objectif,-4.0,17.0,0,0.8837340345604808,4.629067245119306,0.5402999062792877,1,14
structure,-1,2024-02-16 10:06:12.998881,2024-02-16 10:23:25.712641,20823.0,20845.0,20844.0,20781.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,8.0,-1,0.0,6.214357937310415,0.5346566872762772,1,10
lvn+structure,-1,2024-02-16 11:07:00.416676,2024-02-16 11:21:40.876650,20761.0,20725.0,20760.0,20725.0,18.0,36.0,43.76,2.0,objectif,-13.0,40.0,-1,0.7878807990973651,4.048319327731092,0.5531914893617021,1,11
lvn+structure,-1,2024-02-16 11:38:24.959834,2024-02-16 11:42:04.836742,20701.0,20673.0,20700.0,20673.0,14.0,28.0,33.76,2.0,objectif,-1.0,28.0,-1,0.9810844892812106,2.7420091324200913,0.537052456286428,1,11
lvn,1,2024-02-16 12:21:25.485975,2024-02-16 13:17:40.658631,20592.0,20592.0,20593.0,20634.0,21.0,0.0,-1.24,0.0,breakeven,-10.0,41.0,-1,0.9615052764319374,6.4684129429892145,0.5364459266317294,1,12
lvn,1,2024-02-16 15:22:18.923469,2024-02-16 15:26:00.219229,20634.0,20674.0,20635.0,20674.0,20.0,40.0,48.76,2.0,objectif,-1.0,43.0,1,0.925369685767098,2.8554801163918526,0.5726902173913043,1,15
lvn+structure,1,2024-02-19 09:54:27.299485,2024-02-19 09:56:24.964946,20762.0,20770.0,20763.0,20770.0,4.0,8.0,8.76,2.0,objectif,-1.0,13.0,1,0.7498335774197843,3.065693430656934,0.6047619047619047,1,9
lvn,1,2024-02-19 14:39:09.801687,2024-02-19 14:43:13.194966,20520.0,20530.0,20521.0,20530.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,0,0.9622101930344193,3.5053304904051172,0.5237226277372263,1,14
