setup,direction,entry_ts,exit_ts,entry_t,exit_t,stop_t,target_t,risk_ticks,pnl_ticks,pnl_usd,r_multiple,reason,mae_ticks,mfe_ticks,trend,lvn_strength,absorption_ratio,aggressor_share,stacked,hour
lvn+structure,1,2024-01-16 13:07:48.393994,2024-01-16 13:37:50.194809,20459.0,20501.0,20460.0,20501.0,21.0,42.0,51.26,2.0,objectif,-19.0,45.0,1,0.8124036523182734,8.680115273775217,0.5156042496679947,1,13
structure,-1,2024-01-16 15:01:04.406727,2024-01-16 15:04:05.079409,20524.0,20534.0,20533.0,20506.0,9.0,-10.0,-13.74,-1.1111111111111112,stop,-15.0,1.0,-1,0.0,3.4635627530364372,0.5639976621858562,1,15
structure,-1,2024-01-17 14:49:16.288818,2024-01-17 15:00:47.287174,20481.0,20501.0,20500.0,20443.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-24.0,0.0,-1,0.0,4.337770382695507,0.5067126965861143,1,14
lvn,-1,2024-01-18 11:08:24.976905,2024-01-18 11:10:53.320026,20472.0,20484.0,20483.0,20450.0,11.0,-12.0,-16.24,-1.0909090909090908,stop,-14.0,0.0,0,0.7589131875414181,3.9185888738127543,0.5339335180055401,1,11
lvn,-1,2024-01-18 11:47:41.646536,2024-01-18 11:59:55.430372,20534.0,20556.0,20555.0,20492.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-24.0,1.0,1,0.9395844362096347,3.0055617352614017,0.5817912657290896,1,11
lvn+structure,-1,2024-01-19 14:20:28.166121,2024-01-19 14:46:47.627433,20672.0,20672.0,20671.0,20632.0,20.0,-0.0,-1.24,-0.0,breakeven,-3.0,37.0,-1,0.812608587738893,7.388255915863278,0.5005931198102017,1,14
lvn+structure,1,2024-01-22 10:17:41.811717,2024-01-22 10:22:49.251525,20719.0,20735.0,20720.0,20735.0,8.0,16.0,18.76,2.0,objectif,-6.0,22.0,1,0.897741375031025,5.375,0.5246078961600865,1,10
lvn,1,2024-01-22 10:55:12.130400,2024-01-22 11:06:11.474219,20753.0,20753.0,20754.0,20795.0,21.0,0.0,-1.24,0.0,breakeven,-4.0,23.0,-1,0.7857536511435657,4.231671554252199,0.5488565488565489,1,10
lvn+structure,-1,2024-01-22 13:12:44.752041,2024-01-22 13:20:20.812752,20680.0,20638.0,20679.0,20638.0,21.0,42.0,51.26,2.0,objectif,-2.0,43.0,-1,0.8490799061380758,2.5669642857142856,0.5104347826086957,1,13
lvn,1,2024-01-22 13:58:10.342394,2024-01-22 14:06:30.195397,20628.0,20646.0,20629.0,20646.0,9.0,18.0,21.26,2.0,objectif,-7.0,25.0,-1,0.7138446338149932,4.431590656284761,0.5421686746987951,1,13
lvn,-1,2024-01-24 11:00:40.031318,2024-01-24 11:04:27.552139,20805.0,20812.0,20811.0,20793.0,6.0,-7.0,-9.99,-1.1666666666666667,stop,-6.0,4.0,0,0.9594802291462904,4.171934260429835,0.5272727272727272,1,11
structure,1,2024-01-25 13:05:32.964544,2024-01-25 13:23:36.958150,20654.0,20694.0,20655.0,20694.0,20.0,40.0,48.76,2.0,objectif,-9.0,43.0,1,0.0,2.8333333333333335,0.518781006378455,1,13
lvn,-1,2024-01-26 14:00:58.616441,2024-01-26 14:11:21.609385,20494.0,20494.0,20493.0,20452.0,21.0,-0.0,-1.24,-0.0,breakeven,-7.0,24.0,0,0.9458890539871223,4.231306081754735,0.5056550424128181,1,14
lvn,1,2024-01-26 15:50:46.365609,2024-01-26 15:55:00.034288,20336.0,20355,20316.0,20376.0,20.0,19.0,22.51,0.95,fin_de_seance,-1.0,19.0,-1,0.9390857270593495,5.745293466223699,0.5046260601387818,1,15
lvn,-1,2024-01-29 13:46:05.705446,2024-01-29 13:54:26.178977,20526.0,20526.0,20525.0,20508.0,9.0,-0.0,-1.24,-0.0,breakeven,-7.0,13.0,0,0.7472671622212506,5.2516875602700095,0.5413147264047007,1,13
lvn,1,2024-01-29 15:29:25.722871,2024-01-29 15:40:33.961984,20514.0,20514.0,20515.0,20554.0,20.0,0.0,-1.24,0.0,breakeven,-4.0,20.0,-1,0.8621456364647027,4.593818984547461,0.5338779432964921,1,15
lvn,1,2024-01-30 13:57:27.278498,2024-01-30 14:07:46.758400,20641.0,20619.0,20620.0,20683.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,1.0,0,0.8892436419685126,4.532051282051282,0.5096652522395096,1,13
lvn,1,2024-01-30 15:28:49.433016,2024-01-30 15:49:46.403074,20620.0,20598.0,20599.0,20662.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-24.0,5.0,-1,0.8462929475587704,5.113024757804091,0.5418947368421053,1,15
lvn,-1,2024-01-31 14:19:57.621046,2024-01-31 14:26:08.255805,20313.0,20299.0,20312.0,20299.0,7.0,14.0,16.26,2.0,objectif,-5.0,19.0,-1,0.9699495245920883,2.580487804878049,0.556710775047259,1,14
lvn,1,2024-01-31 14:52:06.795817,2024-01-31 15:04:15.874167,20291.0,20333.0,20292.0,20333.0,21.0,42.0,51.26,2.0,objectif,-1.0,49.0,-1,0.9059748796807137,2.905191873589165,0.5135975135975136,1,14
structure,1,2024-02-02 11:47:14.173593,2024-02-02 11:59:47.441366,20338.0,20380.0,20339.0,20380.0,21.0,42.0,51.26,2.0,objectif,-1.0,47.0,1,0.0,8.148936170212766,0.549869451697128,1,11
structure,1,2024-02-02 12:23:32.289905,2024-02-02 13:14:16.197846,20408.0,20408.0,20409.0,20446.0,19.0,0.0,-1.24,0.0,breakeven,-4.0,24.0,1,0.0,2.917448405253283,0.5118971061093247,1,12
lvn,1,2024-02-02 15:44:32.899254,2024-02-02 15:52:04.777059,20479.0,20493.0,20480.0,20493.0,7.0,14.0,16.26,2.0,objectif,-5.0,19.0,0,0.878552097428958,3.165236051502146,0.5064406779661017,1,15
lvn,-1,2024-02-05 11:53:59.104136,2024-02-05 12:01:27.560353,20615.0,20615.0,20614.0,20581.0,17.0,-0.0,-1.24,-0.0,breakeven,-1.0,17.0,0,0.8284164572033338,5.790193842645382,0.526191413942497,1,11
lvn+structure,-1,2024-02-06 14:11:36.640624,2024-02-06 14:16:35.436544,20617.0,20617.0,20616.0,20603.0,7.0,-0.0,-1.24,-0.0,breakeven,-5.0,12.0,-1,0.7297976774811445,4.246268656716418,0.5799648506151143,1,14
lvn,-1,2024-02-07 15:47:10.048595,2024-02-07 15:55:12.883169,20533.0,20499,20532.0,20491.0,21.0,34.0,41.26,1.619047619047619,fin_de_seance,-1.0,35.0,1,0.786194645349575,7.897790055248619,0.583420776495278,1,15
lvn,1,2024-02-08 09:53:52.621420,2024-02-08 10:15:53.492419,20502.0,20480.0,20481.0,20544.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-26.0,12.0,-1,0.9306645131518227,3.7481203007518795,0.5135406218655968,1,9
lvn+structure,-1,2024-02-08 10:29:13.411689,2024-02-08 10:31:26.696919,20463.0,20485.0,20484.0,20421.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-26.0,0.0,-1,0.8863713222861007,5.359116022099448,0.5319587628865979,1,10
structure,-1,2024-02-08 10:45:59.877513,2024-02-08 10:56:01.994782,20515.0,20473.0,20514.0,20473.0,21.0,42.0,51.26,2.0,objectif,-1.0,48.0,-1,0.0,2.5987488829311887,0.515130674002751,1,10
lvn+structure,-1,2024-02-08 11:36:09.205947,2024-02-08 11:39:40.040940,20439.0,20445.0,20444.0,20429.0,5.0,-6.0,-8.74,-1.2,stop,-8.0,4.0,-1,0.8412782113478169,5.81941309255079,0.5713731574864236,1,11
lvn,1,2024-02-08 11:52:03.759114,2024-02-08 11:58:50.023616,20458.0,20438.0,20439.0,20496.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-20.0,12.0,-1,0.727800042185193,4.638717632552405,0.5077086656034024,1,11
lvn+structure,1,2024-02-08 14:45:15.415084,2024-02-08 14:48:34.912873,20318.0,20313.0,20314.0,20326.0,4.0,-5.0,-7.49,-1.25,stop,-7.0,1.0,1,0.9808917197452229,5.4066130473637175,0.5685950413223141,1,14
lvn+structure,1,2024-02-09 11:57:38.223196,2024-02-09 12:08:44.349573,20469.0,20469.0,20470.0,20489.0,10.0,0.0,-1.24,0.0,breakeven,-8.0,12.0,1,0.7724358974358975,5.125874125874126,0.5479763528876762,1,11
lvn,1,2024-02-12 09:53:36.131834,2024-02-12 09:56:01.006746,20500.0,20512.0,20494.0,20512.0,6.0,12.0,13.76,2.0,objectif,-4.0,13.0,0,0.787833081950729,2.9026128266033253,0.5229132569558101,1,9
lvn,1,2024-02-13 12:07:18.535496,2024-02-13 12:11:49.356983,20770.0,20812.0,20771.0,20812.0,21.0,42.0,51.26,2.0,objectif,-1.0,47.0,-1,0.9346223694049781,2.7491408934707904,0.5466666666666666,1,12
lvn+structure,1,2024-02-13 13:45:39.439206,2024-02-13 13:49:20.507014,20832.0,20842.0,20833.0,20842.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,1,0.9014767932489451,3.8593073593073592,0.5434660684240045,1,13
lvn+structure,1,2024-02-14 10:13:02.463546,2024-02-14 10:17:06.947786,21012.0,21012.0,21013.0,21028.0,8.0,0.0,-1.24,0.0,breakeven,-1.0,13.0,1,0.9064345991561181,2.675883256528418,0.5522388059701493,1,10
lvn,1,2024-02-14 13:09:07.438870,2024-02-14 13:11:46.814577,21031.0,21039.0,21032.0,21039.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,0,0.7627772420443587,3.045,0.5862068965517241,1,13
lvn+structure,1,2024-02-15 11:49:47.108921,2024-02-15 12:00:52.140619,21173.0,21173.0,21174.0,21213.0,20.0,0.0,-1.24,0.0,breakeven,-3.0,20.0,1,0.7377491207502931,3.752421959095802,0.5393000573723465,1,11
lvn,1,2024-02-16 10:24:26.532127,2024-02-16 10:38:11.185115,21067.0,21045.0,21046.0,21109.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-24.0,18.0,-1,0.8955819287922608,10.474393530997304,0.5352547606793618,1,10
lvn,-1,2024-02-16 11:06:54.614108,2024-02-16 11:10:54.412067,21026.0,21016.0,21025.0,21016.0,5.0,10.0,11.26,2.0,objectif,-3.0,12.0,0,0.8209833449685848,7.869031377899045,0.5454230235783634,1,11
structure,-1,2024-02-16 12:01:45.467492,2024-02-16 12:07:56.832456,21047.0,21047.0,21046.0,21035.0,6.0,-0.0,-1.24,-0.0,breakeven,-4.0,10.0,-1,0.0,2.832740213523132,0.6030150753768844,1,12
lvn+structure,-1,2024-02-16 13:30:32.717286,2024-02-16 13:39:07.242410,20999.0,20977.0,20998.0,20977.0,11.0,22.0,26.26,2.0,objectif,-5.0,25.0,-1,0.891566265060241,4.522105263157894,0.5642458100558659,1,13
lvn+structure,-1,2024-02-20 09:47:00.543914,2024-02-20 09:50:44.131209,20755.0,20777.0,20776.0,20713.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-21.0,3.0,-1,0.9965845766672659,6.955497382198953,0.5634173880316146,1,9
lvn+structure,-1,2024-02-20 10:18:30.173049,2024-02-20 10:20:54.462288,20717.0,20737.0,20736.0,20679.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-21.0,3.0,-1,0.8838756066870394,2.702341137123746,0.5412541254125413,1,10
lvn,-1,2024-02-20 13:16:40.267074,2024-02-20 13:22:13.126755,20830.0,20842.0,20841.0,20808.0,11.0,-12.0,-16.24,-1.0909090909090908,stop,-19.0,7.0,1,0.8938165633444604,3.9839518555667,0.56797583081571,1,13
lvn,1,2024-02-21 11:17:17.043741,2024-02-21 11:42:49.797939,20767.0,20745.0,20746.0,20809.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,6.0,0,0.8247272727272728,3.205564142194745,0.5824493731918997,1,11
lvn,1,2024-02-21 11:52:43.824299,2024-02-21 11:58:45.842719,20736.0,20744.0,20737.0,20744.0,4.0,8.0,8.76,2.0,objectif,-2.0,12.0,0,0.8530723219140838,2.6017964071856285,0.6029919447640967,1,11
lvn,1,2024-02-22 10:33:59.944394,2024-02-22 10:37:13.031076,20547.0,20540.0,20541.0,20559.0,6.0,-7.0,-9.99,-1.1666666666666667,stop,-8.0,0.0,-1,0.8223238215355511,5.316279069767442,0.5363079615048119,1,10
structure,-1,2024-02-22 10:52:53.511056,2024-02-22 10:58:32.908308,20574.0,20562.0,20580.0,20562.0,6.0,12.0,13.76,2.0,objectif,-4.0,13.0,-1,0.0,6.176088971269694,0.5312124849939976,1,10
lvn,1,2024-02-22 11:04:53.969034,2024-02-22 11:07:35.969022,20544.0,20536.0,20537.0,20558.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-7.0,1.0,0,0.7242629670502916,6.218181818181818,0.5675763482781027,1,11
lvn,-1,2024-02-23 14:01:51.900150,2024-02-23 14:03:11.744844,20671.0,20676.0,20675.0,20663.0,4.0,-5.0,-7.49,-1.25,stop,-9.0,0.0,1,0.9563870352716873,3.861136158701533,0.5114432508173751,1,14
structure,-1,2024-02-23 15:42:07.324156,2024-02-23 15:45:21.225376,20559.0,20559.0,20558.0,20551.0,4.0,-0.0,-1.24,-0.0,breakeven,-6.0,5.0,-1,0.0,7.2727272727272725,0.5025316455696203,1,15
lvn,-1,2024-02-26 10:38:35.168105,2024-02-26 10:58:02.336671,20460.0,20482.0,20481.0,20418.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,2.0,1,0.9711641919517968,3.564885496183206,0.5060670949321913,1,10
lvn,-1,2024-02-26 14:13:29.446437,2024-02-26 14:14:42.591301,20596.0,20604.0,20603.0,20582.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-7.0,1.0,0,0.9031717293636424,3.793179317931793,0.5377030162412993,1,14
lvn,-1,2024-02-26 15:05:10.165836,2024-02-26 15:09:53.674313,20614.0,20606.0,20613.0,20606.0,4.0,8.0,8.76,2.0,objectif,-2.0,12.0,0,0.9773352158727799,4.360344827586207,0.5516014234875445,1,15
lvn,1,2024-02-26 15:33:34.697539,2024-02-26 15:55:54.373316,20560.0,20598,20561.0,20602.0,21.0,38.0,46.26,1.8095238095238095,fin_de_seance,-1.0,40.0,0,0.8022348882555872,9.063583815028903,0.5209183673469387,1,15
lvn,1,2024-02-27 11:15:01.693420,2024-02-27 11:18:18.227558,20419.0,20419.0,20420.0,20439.0,10.0,0.0,-1.24,0.0,breakeven,-8.0,10.0,-1,0.9325790452572845,3.0311850311850312,0.5521262002743484,1,11
lvn,1,2024-02-27 15:00:09.886300,2024-02-27 15:00:58.118492,20638.0,20633.0,20634.0,20646.0,4.0,-5.0,-7.49,-1.25,stop,-9.0,0.0,0,0.9931787999517083,3.3077609277430864,0.5377562028047465,1,15
structure,1,2024-02-27 15:13:34.791958,2024-02-27 15:23:20.046313,20624.0,20666.0,20625.0,20666.0,21.0,42.0,51.26,2.0,objectif,-3.0,45.0,1,0.0,7.897746967071058,0.52183454026772,1,15
structure,1,2024-02-28 13:17:28.738246,2024-02-28 13:18:59.820740,20782.0,20798.0,20774.0,20798.0,8.0,16.0,18.76,2.0,objectif,-1.0,16.0,1,0.0,3.7064439140811456,0.5235028976175145,1,13
lvn,1,2024-02-28 14:16:21.204892,2024-02-28 14:19:23.058336,20713.0,20721.0,20714.0,20721.0,4.0,8.0,8.76,2.0,objectif,-2.0,14.0,-1,0.9727868488281683,5.373426573426573,0.5528370640291514,1,14
lvn,1,2024-02-29 13:33:42.984942,2024-02-29 13:37:11.260438,20946.0,20954.0,20947.0,20954.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,0,0.9776988894957218,6.532180595581172,0.51,1,13
lvn,-1,2024-02-29 15:17:38.754150,2024-02-29 15:51:01.593846,20943.0,20909.0,20942.0,20909.0,17.0,34.0,41.26,2.0,objectif,-15.0,36.0,0,0.9420998455995883,7.0091027308192455,0.5150278293135436,1,15
lvn,-1,2024-03-01 10:45:43.177221,2024-03-01 10:55:15.716424,20898.0,20919.0,20918.0,20858.0,20.0,-21.0,-27.49,-1.05,stop,-24.0,2.0,0,0.8570623061742317,2.977900552486188,0.533704390847248,1,10
lvn+structure,-1,2024-01-02 14:58:15.088504,2024-01-02 15:00:50.082544,20080.0,20080.0,20079.0,20068.0,6.0,-0.0,-1.24,-0.0,breakeven,-9.0,7.0,-1,0.8595486111111111,3.0464646464646465,0.5218832891246684,1,14
lvn,-1,2024-01-03 09:47:56.353724,2024-01-03 09:53:07.539296,20116.0,20116.0,20115.0,20098.0,9.0,-0.0,-1.24,-0.0,breakeven,-7.0,17.0,0,0.9118055555555555,4.565217391304348,0.5018315018315018,1,9
structure,-1,2024-01-03 10:25:54.920591,2024-01-03 10:33:12.910951,20114.0,20072.0,20113.0,20072.0,21.0,42.0,51.26,2.0,objectif,-4.0,42.0,-1,0.0,7.900142653352354,0.5568797399783315,1,10
lvn,1,2024-01-03 11:03:15.595251,2024-01-03 11:06:43.373149,19939.0,19939.0,19940.0,19949.0,5.0,0.0,-1.24,0.0,breakeven,-3.0,9.0,-1,0.9041053921568627,3.685971685971686,0.520949720670391,1,11
lvn,1,2024-01-04 09:43:28.197212,2024-01-04 09:45:38.105214,19873.0,19873.0,19874.0,19881.0,4.0,0.0,-1.24,0.0,breakeven,-9.0,6.0,0,0.8669095221958658,2.592087312414734,0.5526315789473685,1,9
structure,-1,2024-01-04 14:16:01.494304,2024-01-04 14:24:03.744592,19782.0,19804.0,19803.0,19740.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,2.0,-1,0.0,4.331527627302275,0.5152576288144072,1,14
lvn,1,2024-01-05 09:41:47.155005,2024-01-05 09:48:06.051159,19785.0,19817.0,19786.0,19817.0,16.0,32.0,38.76,2.0,objectif,-3.0,35.0,-1,0.865369716794353,4.059609455292908,0.5681012658227849,1,9
structure,-1,2024-01-05 10:56:26.044485,2024-01-05 10:59:12.133929,19767.0,19784.0,19783.0,19735.0,16.0,-17.0,-22.49,-1.0625,stop,-18.0,0.0,-1,0.0,3.903157894736842,0.5458468176914779,1,10
lvn,1,2024-01-05 14:40:22.957216,2024-01-05 14:59:42.956917,19947.0,19928.0,19929.0,19983.0,18.0,-19.0,-24.99,-1.0555555555555556,stop,-18.0,7.0,0,0.988421458896179,4.031553398058253,0.5538832028898254,1,14
structure,-1,2024-01-05 15:08:17.360924,2024-01-05 15:20:34.622082,19935.0,19957.0,19956.0,19893.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-28.0,6.0,-1,0.0,3.3380710659898476,0.6326034063260341,1,15
lvn+structure,1,2024-01-09 14:19:56.893603,2024-01-09 14:32:37.204316,20115.0,20115.0,20116.0,20157.0,21.0,0.0,-1.24,0.0,breakeven,-16.0,34.0,1,0.9073390733907339,2.795275590551181,0.5455399061032864,1,14
lvn,-1,2024-01-10 10:27:42.629216,2024-01-10 10:30:12.145914,20078.0,20078.0,20077.0,20066.0,6.0,-0.0,-1.24,-0.0,breakeven,-4.0,10.0,1,0.9023559190031153,3.696750902527076,0.587890625,1,10
lvn,-1,2024-01-10 10:39:25.281246,2024-01-10 10:40:47.246475,20118.0,20123.0,20122.0,20110.0,4.0,-5.0,-7.49,-1.25,stop,-5.0,3.0,1,0.9324376947040498,4.974212034383954,0.5766129032258065,1,10
lvn+structure,-1,2024-01-10 13:28:53.008135,2024-01-10 13:35:13.946171,19951.0,19923.0,19950.0,19923.0,14.0,28.0,33.76,2.0,objectif,-1.0,31.0,-1,0.9005343583013031,6.65503355704698,0.5401371520774506,2,13
lvn,-1,2024-01-11 10:35:29.199831,2024-01-11 10:38:54.573148,19736.0,19743.0,19742.0,19724.0,6.0,-7.0,-9.99,-1.1666666666666667,stop,-12.0,3.0,1,0.9078258267245249,6.755102040816326,0.5110056107034959,1,10
lvn,-1,2024-01-11 11:09:59.832971,2024-01-11 11:24:30.235034,19854.0,19876.0,19875.0,19812.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,4.0,0,0.9799049558723694,3.3529411764705883,0.5015948963317385,1,11
lvn,-1,2024-01-11 13:22:00.869065,2024-01-11 13:26:26.611545,19889.0,19875.0,19888.0,19875.0,7.0,14.0,16.26,2.0,objectif,-5.0,15.0,0,0.9006631479225876,3.699561403508772,0.5275637225844695,1,13
lvn,-1,2024-01-11 15:25:28.561903,2024-01-11 15:30:31.797341,19837.0,19819.0,19836.0,19819.0,9.0,18.0,21.26,2.0,objectif,-2.0,21.0,0,0.7930808175510969,4.8016967126193,0.5035335689045937,1,15
structure,1,2024-01-12 09:49:06.281262,2024-01-12 09:52:53.752974,19830.0,19808.0,19809.0,19872.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,1.0,1,0.0,6.084033613445378,0.5214088397790055,2,9
lvn,1,2024-01-15 13:44:33.353346,2024-01-15 13:52:04.899814,19671.0,19671.0,19672.0,19685.0,7.0,0.0,-1.24,0.0,breakeven,-6.0,11.0,0,0.7913274890419537,3.82010582010582,0.5526315789473685,1,13
lvn,1,2024-01-15 14:01:23.043495,2024-01-15 14:18:29.540093,19654.0,19632.0,19633.0,19696.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-23.0,16.0,0,0.8702254226675016,4.465608465608466,0.5841232227488151,1,14
lvn,1,2024-01-15 14:35:06.513572,2024-01-15 14:56:49.895834,19609.0,19592.0,19593.0,19641.0,16.0,-17.0,-22.49,-1.0625,stop,-23.0,9.0,0,0.9313390313390313,5.83751846381093,0.5683198380566802,1,14
structure,-1,2024-01-16 13:26:58.280540,2024-01-16 13:31:41.516935,19724.0,19696.0,19723.0,19696.0,14.0,28.0,33.76,2.0,objectif,-1.0,33.0,-1,0.0,3.5345211581291758,0.5393824826717076,2,13
lvn,1,2024-01-16 14:52:12.083296,2024-01-16 15:03:44.877396,19794.0,19772.0,19773.0,19836.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-25.0,12.0,0,0.7149730782449306,2.969465648854962,0.572407883461868,1,14
structure,-1,2024-01-18 14:43:40.929245,2024-01-18 14:48:43.756279,19741.0,19761.0,19760.0,19703.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-24.0,2.0,-1,0.0,4.66218487394958,0.5674116798846431,1,14
lvn,1,2024-01-19 11:51:44.868554,2024-01-19 12:05:31.796948,19590.0,19632.0,19591.0,19632.0,21.0,42.0,51.26,2.0,objectif,-1.0,45.0,0,0.9979219948849105,10.257274119448699,0.5231412361899075,1,11
lvn,-1,2024-01-19 13:26:53.321282,2024-01-19 13:54:38.093883,19646.0,19646.0,19645.0,19608.0,19.0,-0.0,-1.24,-0.0,breakeven,-17.0,36.0,0,0.861536605958268,3.4144927536231884,0.5246179966044142,1,13
lvn,1,2024-01-19 14:40:13.683794,2024-01-19 15:22:20.631716,19638.0,19638.0,19639.0,19680.0,21.0,0.0,-1.24,0.0,breakeven,-5.0,41.0,0,0.939980321416858,5.854406130268199,0.5356675392670157,1,14
lvn+structure,1,2024-01-19 15:31:48.953344,2024-01-19 15:37:06.583234,19630.0,19611.0,19612.0,19666.0,18.0,-19.0,-24.99,-1.0555555555555556,stop,-18.0,7.0,1,0.93476129421525,3.649402390438247,0.537117903930131,1,15
lvn,-1,2024-01-22 13:40:26.465699,2024-01-22 14:07:24.314153,19579.0,19537.0,19578.0,19537.0,21.0,42.0,51.26,2.0,objectif,-2.0,49.0,0,0.8748020212685723,5.963671128107075,0.555306187880731,1,13
lvn,-1,2024-01-23 11:45:13.875046,2024-01-23 11:52:41.177764,19363.0,19333.0,19362.0,19333.0,15.0,30.0,36.26,2.0,objectif,-3.0,32.0,1,0.8991186949184324,3.905224787363305,0.5252022401991289,1,11
lvn+structure,-1,2024-01-23 13:47:52.541344,2024-01-23 13:49:40.330205,19315.0,19320.0,19319.0,19307.0,4.0,-5.0,-7.49,-1.25,stop,-5.0,3.0,-1,0.7751734483405213,9.010526315789473,0.5072429906542056,1,13
structure,1,2024-01-24 10:21:19.065554,2024-01-24 10:24:15.753747,19310.0,19318.0,19311.0,19318.0,4.0,8.0,8.76,2.0,objectif,-2.0,11.0,1,0.0,7.959770114942529,0.5109506618531889,1,10
structure,1,2024-01-24 14:04:41.454126,2024-01-24 14:22:24.030978,19585.0,19627.0,19586.0,19627.0,21.0,42.0,51.26,2.0,objectif,-1.0,47.0,1,0.0,11.235521235521235,0.5436426116838488,1,14
lvn,1,2024-01-25 13:27:39.848178,2024-01-25 13:29:10.143908,19875.0,19870.0,19871.0,19883.0,4.0,-5.0,-7.49,-1.25,stop,-5.0,3.0,0,0.9691380569758948,2.7416762342135477,0.5376884422110553,1,13
lvn+structure,-1,2024-01-25 14:40:10.830151,2024-01-25 15:07:05.193976,19833.0,19791.0,19832.0,19791.0,21.0,42.0,51.26,2.0,objectif,-17.0,45.0,-1,0.9466764061358656,5.625128733264676,0.5624313438300989,1,14
lvn,-1,2024-01-26 10:06:02.084173,2024-01-26 10:09:40.440645,19897.0,19889.0,19896.0,19889.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,1,0.7839291912530372,4.536458333333333,0.5522388059701493,1,10
lvn,-1,2024-01-26 13:06:42.845181,2024-01-26 13:16:21.408256,19729.0,19729.0,19728.0,19687.0,21.0,-0.0,-1.24,-0.0,breakeven,-3.0,26.0,0,0.9826629680998613,5.954976303317536,0.5499403103859929,2,13
structure,-1,2024-01-26 15:46:40.784709,2024-01-26 15:53:09.535396,19380.0,19380.0,19379.0,19364.0,8.0,-0.0,-1.24,-0.0,breakeven,-6.0,8.0,-1,0.0,3.92443919716647,0.5024067388688327,1,15
lvn,-1,2024-01-29 10:17:49.063318,2024-01-29 10:22:33.979400,19253.0,19253.0,19252.0,19239.0,7.0,-0.0,-1.24,-0.0,breakeven,-5.0,8.0,-1,0.956170531039641,6.697490092470278,0.5467455621301776,1,10
structure,-1,2024-01-30 11:29:10.268371,2024-01-30 11:30:29.914915,19205.0,19216.0,19215.0,19185.0,10.0,-11.0,-14.99,-1.1,stop,-11.0,0.0,-1,0.0,5.887477313974592,0.5450061652281134,1,11
lvn,-1,2024-01-30 12:17:36.486262,2024-01-30 12:22:59.695190,19302.0,19310.0,19309.0,19288.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-11.0,4.0,1,0.8285297336738416,3.653679653679654,0.5995260663507109,1,12
lvn,-1,2024-01-30 13:09:27.573719,2024-01-30 13:17:44.887965,19308.0,19308.0,19307.0,19294.0,7.0,-0.0,-1.24,-0.0,breakeven,-5.0,11.0,0,0.7594855892010215,4.178837555886736,0.5485021398002853,1,13
lvn,-1,2024-01-30 14:14:46.977347,2024-01-30 14:22:29.111108,19226.0,19188.0,19225.0,19188.0,19.0,38.0,46.26,2.0,objectif,-1.0,38.0,0,0.7822450080949811,2.9146198830409356,0.5385232744783307,1,14
structure,1,2024-01-31 12:14:31.731172,2024-01-31 12:21:09.215350,19106.0,19144.0,19107.0,19144.0,19.0,38.0,46.26,2.0,objectif,-1.0,38.0,1,0.0,9.841131664853101,0.5329500221141088,1,12
structure,1,2024-01-31 13:41:28.271527,2024-01-31 13:45:42.441578,19244.0,19244.0,19245.0,19252.0,4.0,0.0,-1.24,0.0,breakeven,-2.0,7.0,1,0.0,5.434159061277706,0.5465451055662188,1,13
lvn,-1,2024-01-31 15:17:30.856412,2024-01-31 15:55:41.863892,19278.0,19278.0,19277.0,19240.0,19.0,-0.0,-1.24,-0.0,breakeven,-17.0,33.0,1,0.9648558187435633,4.111917098445596,0.5756048387096774,1,15
lvn,-1,2024-02-02 11:35:46.482944,2024-02-02 11:36:14.422154,19205.0,19211.0,19210.0,19195.0,5.0,-6.0,-8.74,-1.2,stop,-9.0,0.0,1,0.9655134420449537,2.5968992248062017,0.5126865671641792,1,11
